_id, Name, District, Category, University, Institution Type, College Type
1, Alagappa Govt. Arts College, Sivagangai, Arts & Science, Alagappa University, Government, Co-Education
2, Alagappa University College of Education, Sivagangai, , Alagappa University,
386, C.S.I. Institute of Technology, Kanyakumari, , Anna University - Tirunelveli
387, Cape Institute of Technology, Tirunelveli, , Anna University - Tirunelveli
388, Chandy College of Engineering, Tuticorin, , Anna University - Tirunelveli
389, D.M.I. Engineering College, Kanyakumari, , Anna University - Tirunelveli
390, Dr. G.U. Pope College of Engineering, Tuticorin, , Anna University - Tirunelveli
391, Dr. Sivanthi Aditanar College of Engineering, Tuticorin, , Anna University - Tirunelveli
392, Einstein College of Engineering, Tirunelveli, , Anna University - Tirunelveli
393, Fatima Michael College of Engineering & Technology, Madurai, , Anna University - Tirunelveli
394, Francis Xavier Engineering College, Tirunelveli, , Anna University - Tirunelveli
395, Government College of Engineering, Tirunelveli, , Anna University - Tirunelveli
396, Holy Cross Engineering College, Tuticorin, , Anna University - Tirunelveli
397, Immanuel Arasar J J College of Engineering, Kanyakumari, , Anna University - Tirunelveli
398, J.P. College of Engineering, Tirunelveli, , Anna University - Tirunelveli
399, James College of Engineering and Technology, Kanyakumari, , Anna University - Tirunelveli
400, Jayamatha Engineering College, Kanyakumari, , Anna University - Tirunelveli
401, Jeyaraj Annapackiam CSI College of Engineering, Tuticorin, , Anna University - Tirunelveli
402, Joe Suresh Engineering CollegeJoe Suresh Engineering College, Tirunelveli, , Anna University - Tirunelveli
403, K.N.S.K. College of Engineering, Kanyakumari, , Anna University - Tirunelveli
404, Kalasalingam Institute of Technology, Virudhunagar, , Anna University - Tirunelveli
405, Kamaraj College of Engineering and Technology, Madurai, , Anna University - Tirunelveli
406, Latha Mathavan Engineering College, Madurai, , Anna University - Tirunelveli
407, Lord Jegannath College of Engineering and Technology, Kanyakumari, , Anna University - Tirunelveli
408, Loyola Institute of Technology and Science, Kanyakumari, , Anna University - Tirunelveli
409, M.E.T. Engineering College, Kanyakumari, , Anna University - Tirunelveli
410, Mahakavi Bharathiyar College of Engineering and Technology, Tirunelveli, , Anna University - Tirunelveli
411, Maria Collge of Engineering and Technology, Kanyakumari, , Anna University - Tirunelveli
412, Marthandam College of Engineering and Technology, Kanyakumari, , Anna University - Tirunelveli
413, Narayanaguru College of Engineering, Kanyakumari, , Anna University - Tirunelveli
414, National College of Engineering, Tirunelveli, , Anna University - Tirunelveli
415, National Engineering College, Tuticorin, , Anna University - Tirunelveli
416, P.S.N. College of Engineering and Technology, Tirunelveli, , Anna University - Tirunelveli
417, P.S.N. Engineering College, Tirunelveli, , Anna University - Tirunelveli
418, P.S.N. Institute of Technology & Science, Tirunelveli, , Anna University - Tirunelveli
419, P.S.R. Engineering College, Virudhunagar, , Anna University - Tirunelveli
420, P.S.R. Rengasamy College of Engineering for Women, Virudhunagar, , Anna University - Tirunelveli
421, P.T.R. College of Engineering and Technology, Madurai, , Anna University - Tirunelveli
422, Ponjesly College of Engineering, Kanyakumari, , Anna University - Tirunelveli
423, R.V.S. School of Engineering and Technology, Dindigul, , Anna University - Tirunelveli
424, Raja College of Engineering and Technology, Madurai, , Anna University - Tirunelveli
425, Rajas International Institute of Technology for Women, Kanyakumari, , Anna University - Tirunelveli
426, S. Veerasamy Chettiar College of Engineering and Technology, Tirunelveli, , Anna University - Tirunelveli
427, Sardar Raja College of Engineering, Tirunelveli, , Anna University - Tirunelveli
428, Satyam College of Engineering & Technology, Kanyakumari, , Anna University - Tirunelveli
429, SCAD College of Engineering and Technology, Tirunelveli, , Anna University - Tirunelveli
430, Scad Engineering College, Tirunelveli, , Anna University - Tirunelveli
431, Sethu Institute of Technology, Virudhunagar, , Anna University - Tirunelveli
432, Sree Sowdambika College of Engineering, Virudhunagar, , Anna University - Tirunelveli
433, Sri Vidya College of Engineering and Technology, Virudhunagar, , Anna University - Tirunelveli
434, St. Mother Theresa Engineering College, Tuticorin, , Anna University - Tirunelveli
435, St. Xavier Catholic College of Engineering, Kanyakumari, , Anna University - Tirunelveli
436, Sun College of Engineering and Technology, Kanyakumari, , Anna University - Tirunelveli
437, Tamizhan College of Engineering and Technology, Kanyakumari, , Anna University - Tirunelveli
438, The Rajaas Engineering College, Tirunelveli, , Anna University - Tirunelveli
439, Thiagarajar College of Engineering, Madurai, , Anna University - Tirunelveli
440, Udaya School of Engineering, Kanyakumari, , Anna University - Tirunelveli
441, Ultra College of Engineering & Technology for Women, Madurai, , Anna University - Tirunelveli
442, University College of Engineering, Kanyakumari, , Anna University - Tirunelveli
443, University Departments of Anna University Tirunelveli, Tirunelveli, , Anna University - Tirunelveli
444, University VOC College of Engineering, Tuticorin, , Anna University - Tirunelveli
445, Unnamalai Institute of Technology, Tuticorin, , Anna University - Tirunelveli
446, V.V. College of Engineering, Tirunelveli, , Anna University - Tirunelveli
447, Velammal College of Engineering and Technology, Madurai, , Anna University - Tirunelveli
448, Vins Christian College of Engineering, Kanyakumari, , Anna University - Tirunelveli
449, Vins Christian Women's College of Engineering, Kanyakumari, , Anna University - Tirunelveli
450, A.C. College of Engineering and Technology, Sivagangai, , Anna University - Trichy
451, A.R.J. College of Engineering and Technology, Tiruvarur, , Anna University - Trichy
452, A.V.C. College of Engineering, Nagapattinam, , Anna University - Trichy
453, Anjalai Ammal Mahalingam Engineering College, Tiruvarur, , Anna University - Trichy
454, Anna University Tiruchirappali - Ariyalur Campus, Trichy, , Anna University - Trichy
455, Anna University Tiruchirappali - Panruti, Cuddalore, , Anna University - Trichy
456, Anna University Tiruchirappali - Ramanathapuram, Ramnad, , Anna University - Trichy
457, Anna University Tiruchirappali - Thirukkuvalai, Nagapattinam, , Anna University - Trichy
458, Anna University Tiruchirappalli - Dindigul, Dindigul, , Anna University - Trichy
459, Anna University Tiruchirappalli - Pattukkottai, Thanjavur, , Anna University - Trichy
460, Annai College of Engineering and Technology, Thanjavur, , Anna University - Trichy
461, Arasu Engineering College, Kanchipuram, , Anna University - Trichy
462, As-Salam College of Engineering and Technology, Thanjavur, , Anna University - Trichy
463, Bharath Niketan Engineering College, Theni, , Anna University - Trichy
464, C.A.R.E. School of Engineering, Trichy, , Anna University - Trichy
465, Cauvery College of Engineering and Technology, Trichy, , Anna University - Trichy
466, Central Electro Chemical Research Institute, Sivagangai, , Anna University - Trichy
467, Chendhuran College of Engineering and Technology, Pudukottai, , Anna University - Trichy
468, Dhanalakshmi Srinivasan Engineering College, Perambalur, , Anna University - Trichy
469, Dr. Navalar Nedunchezhiyan College of Engineering, Cuddalore, , Anna University - Trichy
470, Edayathangudi G.S. Pillay Engineering College, Nagapattinam, , Anna University - Trichy
471, Ganapathy Chettiar College of Engineering and Technology, Ramnad, , Anna University - Trichy
472, Imayam College of Engineering, Trichy, , Anna University - Trichy
473, Indra Ganesan College of Engineering, Trichy, , Anna University - Trichy
474, J.J. College of Engineering and Technology, Trichy, , Anna University - Trichy
475, Jayaram College of Engineering and Technology, Trichy, , Anna University - Trichy
476, K. Ramakrishnan College of Engineering, Trichy, , Anna University - Trichy
477, K. Ramakrishnan College of Technology, Trichy, , Anna University - Trichy
478, K.K.C. College of Engineering and Technology, Ariyalur, , Anna University - Trichy
479, Kodaikanal Institute of Technology, Dindigul, , Anna University - Trichy
480, Kongunadu College of Engineering and Technology, Trichy, , Anna University - Trichy
481, Krishnasamy College of Engineering and Technology, Cuddalore, , Anna University - Trichy
482, Kurinji College of Engineering and Technology, Trichy, , Anna University - Trichy
483, M.A.M. College of Engineering, Trichy, , Anna University - Trichy
484, M.A.M. College of Engineering and Technology, Trichy, , Anna University - Trichy
485, M.A.M. School of Engineering, Trichy, , Anna University - Trichy
486, M.A.R. College of Engineering and Technology, Pudukottai, , Anna University - Trichy
487, M.I.E.T. Engineering College, Trichy, , Anna University - Trichy
488, M.N.S.K. College of Engineering, Pudukottai, , Anna University - Trichy
489, M.R.K. Institute of Technology, Cuddalore, , Anna University - Trichy
490, Madurai Institute of Engineering and Technology, Sivagangai, , Anna University - Trichy
491, Mahalakshmi Engineering College, Trichy, , Anna University - Trichy
492, Mahath Amma Institute of Engineering and Technology, Pudukottai, , Anna University - Trichy
493, Mohamed Sathak Engineering College, Ramnad, , Anna University - Trichy
494, Mookambigai College of Engineering, Pudukottai, , Anna University - Trichy
495, Mount Zion College of Engineering and Technology, Pudukottai, , Anna University - Trichy
496, N.P.R. College of Engineering and Technology, Dindigul, , Anna University - Trichy
497, Oxford Engineering College, Trichy, , Anna University - Trichy
498, Pandiyan Saraswathi Yadav Engineering College, Sivagangai, , Anna University - Trichy
499, Pannai College of Engineering and Technology, Sivagangai, , Anna University - Trichy
500, Pannaikadu Veerammal Paramasivam College of Engineering and Technology for Women, Dindigul, , Anna University - Trichy
501, Parisutham Institute of Technology and Science, Thanjavur, , Anna University - Trichy
502, Pavendar Bharathidasan Institute of Information Technology, Trichy, , Anna University - Trichy
503, Paventhar Bharathidasan College of Engineering and Technology, Trichy, , Anna University - Trichy
504, Ponnaiyah Ramajayam College of Engineering and Technology, Thanjavur, , Anna University - Trichy
505, Roever College of Engineering and Technology, Perambalur, , Anna University - Trichy
506, Roever Engineering College, Perambalur, , Anna University - Trichy
507, S.B.M. College of Engineering and Technology, Dindigul, , Anna University - Trichy
508, Saranathan College of Engineering, Trichy, , Anna University - Trichy
509, Sembodai Rukmani Varatharajan Engineering College, Nagapattinam, , Anna University - Trichy
510, Shanmuganathan Engineering College, Pudukottai, , Anna University - Trichy
511, Shivani Engneering College, Trichy, , Anna University - Trichy
512, Shivani Institute of Technology, Trichy, , Anna University - Trichy
513, Shri Angala Amman College of Engineering and Technology, Trichy, , Anna University - Trichy
514, Sir Issac Newton College of Engineering and Technology, Nagapattinam, , Anna University - Trichy
515, SMR East Coast College of Engineering and Technology, Thanjavur, , Anna University - Trichy
516, Sri Bharathi Engineering College for Women, Pudukottai, , Anna University - Trichy
517, Sri Subramaniya College of Engineering and Technology, Dindigul, , Anna University - Trichy
518, Srinivasan Engineering College, Perambalur, , Anna University - Trichy
519, St. Anne's College of Engineering and Technology, Cuddalore, , Anna University - Trichy
520, Star Lion College of Engineering and Technology, Thanjavur, , Anna University - Trichy
521, Sudharsan Engineering College, Pudukottai, , Anna University - Trichy
522, The Selvam Women Excellence Engineering Technology, Ramnad, , Anna University - Trichy
523, Theni Kammavar Sangam College of Technology, Theni, , Anna University - Trichy
524, Trichy Engineering College, Trichy, , Anna University - Trichy
525, TRP Engineering College, Trichy, , Anna University - Trichy
526, University Departments of Anna University Tiruchirappalli - BIT Campus, Trichy, , Anna University - Trichy
527, Vandayar Engineering College, Thanjavur, , Anna University - Trichy
528, Vetri Vinayaha College of Engineering and Technology, Trichy, , Anna University - Trichy
529, Annamalai University, Cuddalore, , Annamalai University
530, Annamalai University, Cuddalore, , Annamalai University
531, A.D.M. College for Women, Nagapattinam, , Bharathidasan University
532, A.R.C. Viswanathan College, Nagapattinam, , Bharathidasan University
533, A.V.C. College (Autonomous), Nagapattinam, , Bharathidasan University
534, A.V.V.M. Sri Pushpam College (Autonomous), Thanjavur, , Bharathidasan University
535, Abi and Abi College, Thanjavur, , Bharathidasan University
536, Adaikala Matha College, Thanjavur, , Bharathidasan University
537, Aiman College of Arts and Science for Women, Trichy, , Bharathidasan University
538, Annai College of Arts and Science, Thanjavur, , Bharathidasan University
539, Annai Women's College, Karur, , Bharathidasan University
540, Arignar Anna Govt. Arts College, Trichy, , Bharathidasan University
541, Arputha College of Arts and Science, Pudukottai, , Bharathidasan University
542, Arungarai Amman College of Arts and Science, Karur, , Bharathidasan University
543, Auxilium College of Arts and Science for Women, Pudukottai, , Bharathidasan University
544, Best Arts and Science College, Nagapattinam, , Bharathidasan University
545, Bharath College of Science and Management, Thanjavur, , Bharathidasan University
546, Bishop Heber College, Trichy, , Bharathidasan University
547, Bon Secours College for Women, Thanjavur, , Bharathidasan University
548, Cambridge College of Arts and Science, Karur, , Bharathidasan University
549, Cauveri College for Women, Trichy, , Bharathidasan University
550, Chettinad College of Arts and Science, Trichy, , Bharathidasan University
551, Chidambaram Pillai College of Women, Trichy, , Bharathidasan University
552, Christhu Raj College, Trichy, , Bharathidasan University
553, D.G. Govt. Arts College for Women, Nagapattinam, , Bharathidasan University
554, Dhanalakshmi Srinivasan College of Arts and Science for Women, Perambalur, , Bharathidasan University
555, Dharmambal Ramasamy Arts and Science College, Thanjavur, , Bharathidasan University
556, Dharmapuram Adinam Arts College, Nagapattinam, , Bharathidasan University
557, Dr. Kalaignar Government Arts College, Karur, , Bharathidasan University
558, Dr. Nallikuppusamy Arts College, Thanjavur, , Bharathidasan University
559, Edaiyathangudi G.S. Pillai Arts and Science College, Nagapattinam, , Bharathidasan University
560, Enathi Rajappa College of Arts and Science, Thanjavur, , Bharathidasan University
561, Ganesar Senthamil Kallori, Thanjavur, , Bharathidasan University
562, Government Arts College for Women, Pudukottai, , Bharathidasan University
563, Government Arts College for Women, Thanjavur, , Bharathidasan University
564, Government College for Women, Thanjavur, , Bharathidasan University
565, Govt. Arts College, Ariyalur, , Bharathidasan University
566, Govt. Arts College, Karur, , Bharathidasan University
567, Govt. Arts College, Trichy, , Bharathidasan University
568, H.H. The Rajahs College (Autonomous), Pudukottai, , Bharathidasan University
569, Holy Cross College (Autonomous), Trichy, , Bharathidasan University
570, Idhaya College of Arts and Science for Women, Thanjavur, , Bharathidasan University
571, Imayam College of Arts and Science, Trichy, , Bharathidasan University
572, J.J. College of Arts & Science, Pudukottai, , Bharathidasan University
573, Jamal Mohamed College, Trichy, , Bharathidasan University
574, Khadir Mohideen College, Thanjavur, , Bharathidasan University
575, Kongu College of Arts and Science, Karur, , Bharathidasan University
576, Kundavai Nachiyar Govt. College for Women, Thanjavur, , Bharathidasan University
577, Kurinji Arts and Science College, Trichy, , Bharathidasan University
578, M.I.E.T. College of Arts and Science, Trichy, , Bharathidasan University
579, M.R. Govt. Arts College, Tiruvarur, , Bharathidasan University
580, Mahatma Arts and Science College, Pudukottai, , Bharathidasan University
581, Manickam College of Arts and Science, Thanjavur, , Bharathidasan University
582, Maruthupandiyar College, Thanjavur, , Bharathidasan University
583, Mass College of Arts and Science, Thanjavur, , Bharathidasan University
584, Meenakshi Chandrasekaran College of Arts and Science, Thanjavur, , Bharathidasan University
585, Meenakshi Ramasamy Arts and Science College, Perambalur, , Bharathidasan University
586, Modern Arts and Science College, Ariyalur, , Bharathidasan University
587, Moti and Moti Arts and Science College, Thanjavur, , Bharathidasan University
588, Naina Mohamed College of Arts and Science, Pudukottai, , Bharathidasan University
589, Nallamuthu Gounder Mahalingam College (Autonomous), Coimbatore, , Bharathidasan University
590, National College, Trichy, , Bharathidasan University
591, Nehru Memorial College, Trichy, , Bharathidasan University
592, Nethaji Subash Chandra Bose College, Tiruvarur, , Bharathidasan University
593, Pavendar Bharadhidasan Arts and Science College, Trichy, , Bharathidasan University
594, Periyar E.V.R. College (Autonomous), Trichy, , Bharathidasan University
595, Ponnaiyah Ramajayam College, Thanjavur, , Bharathidasan University
596, Poompuhar College, Nagapattinam, , Bharathidasan University
597, Rabiammal Ahamed Maideen College for Women, Thanjavur, , Bharathidasan University
598, Rajagiri Dawood Batcha College of Arts and Science, Thanjavur, , Bharathidasan University
599, Rajah Serfoji Govt.Arts College, Thanjavur, , Bharathidasan University
600, Rajahs College, Thanjavur, , Bharathidasan University
601, S.K. College of Arts and Science, Tiruvarur, , Bharathidasan University
602, S.K.S.S. Arts College, Thanjavur, , Bharathidasan University
603, Sami Arul Arts and Science College, Thanjavur, , Bharathidasan University
604, Seethalakshmi Ramaswamy College (Autonomous), Trichy, , Bharathidasan University
605, Semgamala Thaayar Educational Trust Women's College, Tiruvarur, , Bharathidasan University
606, Shrimathi Indira Gandhi College (Women), Trichy, , Bharathidasan University
607, Sri Bharathi Arts and Science College (W), Pudukottai, , Bharathidasan University
608, Sri Sankara Arts and Science College, Thanjavur, , Bharathidasan University
609, Sri Sarada Niketan College of Science for Women, Karur, , Bharathidasan University
610, Sri Saradha College for Women, Perambalur, , Bharathidasan University
611, Sri Venkateswara College of Arts and Science, Thanjavur, , Bharathidasan University
612, Srimad Andavan Arts and Science College, Trichy, , Bharathidasan University
613, Srinivasan College of Arts and Science, Perambalur, , Bharathidasan University
614, St. Josephs College (Autonomous), Trichy, , Bharathidasan University
615, Sudharsan College of Arts and Science, Pudukottai, , Bharathidasan University
616, Sulthana Adbullah Rowther College for Women, Thanjavur, , Bharathidasan University
617, T.B.M.L. College, Nagapattinam, , Bharathidasan University
618, T.T. Narasimhan - Swami Dayananda College of Arts and Science, Thanjavur, , Bharathidasan University
619, Tamilavel Uma Maheswarnar Karanthai Arts College, Thanjavur, , Bharathidasan University
620, Thanthai Hans Roever College, Perambalur, , Bharathidasan University
621, Thiru-Vi-Ka Govt. Arts College, Tiruvarur, , Bharathidasan University
622, Urumu Dhanalakshmi College, Trichy, , Bharathidasan University
623, Valluvar College of Science and Management, Karur, , Bharathidasan University
624, Vivekananda Arts and Science College for Women, Nagapattinam, , Bharathidasan University
625, A.J.K. College of Arts and Science, Coimbatore, , Bharathiyar University
626, Adharsh Vidyalaya College of Arts and Science for Women, Erode, , Bharathiyar University
627, Angappa College of Arts and Science, Coimbatore, , Bharathiyar University
628, Ayyan Thiruvalluvar College of Arts and Science, Coimbatore, , Bharathiyar University
629, Bharathiar University, Coimbatore, , Bharathiyar University
630, Bharathidasan College of Arts and Science, Erode, , Bharathiyar University
631, Bishop Ambrose College, Coimbatore, , Bharathiyar University
632, Bishop Thorp College, Erode, , Bharathiyar University
633, C.B.M. College, Coimbatore, , Bharathiyar University
634, C.M.S. College of Science and Commerce, Coimbatore, , Bharathiyar University
635, C.S.I. Bishop Appasamy College of Arts and Science, Coimbatore, , Bharathiyar University
636, Cheraan's Arts Science College, Erode, , Bharathiyar University
637, Cherran College For Women, Tirupur, , Bharathiyar University
638, Chikkaiah Naiacker College, Erode, , Bharathiyar University
639, Chikkanna Government Arts College, Coimbatore, , Bharathiyar University
640, Dr. G.R. Damodaran College of Science, Coimbatore, , Bharathiyar University
641, Dr. N.G.P. Arts and Science College, Coimbatore, , Bharathiyar University
642, Dr. R.A.N.M. Arts and Science College, Erode, , Bharathiyar University
643, Dr. R.V. Arts and Science College, Coimbatore, , Bharathiyar University
644, Dr. S.N.S. Rajalakshmi College of Arts and Science, Coimbatore, , Bharathiyar University
645, Emerald Heights College for Women, Nilgiris, , Bharathiyar University
646, Erode Arts College (Autonomous), Erode, , Bharathiyar University
647, Erode Arts College for Women, Erode, , Bharathiyar University
648, Erode Christian College of Arts and Science for Women, Erode, , Bharathiyar University
649, Gobi Arts and Science College (Autonomous), Erode, , Bharathiyar University
650, Govt. Arts College, Nilgiris, , Bharathiyar University
651, Govt. Arts College, Coimbatore, , Bharathiyar University
652, Govt. Arts College (Autonomous), Coimbatore, , Bharathiyar University
653, Hindusthan College of Arts and Science, Coimbatore, , Bharathiyar University
654, K.G. College of Arts and Science, Coimbatore, , Bharathiyar University
655, K.S.G. College of Arts and Science, Coimbatore, , Bharathiyar University
656, Kaamadhenu Arts and Science College, Erode, , Bharathiyar University
657, Kairali Arts Science and Commerce College, Coimbatore, , Bharathiyar University
658, Karuppannan Mariappan College, Erode, , Bharathiyar University
659, KAYPEEYES College of Arts and Science, Nilgiris, , Bharathiyar University
660, Kongu Arts and Science College, Erode, , Bharathiyar University
661, Kongunadu Arts and Science College, Coimbatore, , Bharathiyar University
662, Kovai Kalaimagal College of Arts and Science, Coimbatore, , Bharathiyar University
663, L.R.G. Govt. Arts College for Women, Coimbatore, , Bharathiyar University
664, Lakshmi Narayanan Visalakshi College of Arts and Science, Coimbatore, , Bharathiyar University
665, Maharaja Arts and Science College, Coimbatore, , Bharathiyar University
666, Maharaja College for Women, Erode, , Bharathiyar University
667, Maharani Arts and Science Women's College, Erode, , Bharathiyar University
668, Michael Job College of Arts and Science for Women, Coimbatore, , Bharathiyar University
669, Nandha Arts and Science College, Erode, , Bharathiyar University
670, Navarasam Arts and Science College for Women, Erode, , Bharathiyar University
671, Nehru Arts and Science College, Coimbatore, , Bharathiyar University
672, Nehru College of Arts and Science, Tirupur, , Bharathiyar University
673, Nift Tea College of Knitwear Fashion, Tirupur, , Bharathiyar University
674, Nirmala College for Women, Coimbatore, , Bharathiyar University
675, P.K.R. Arts College for Women, Erode, , Bharathiyar University
676, P.S.G. College of Arts and Science (Autonomous), Coimbatore, , Bharathiyar University
677, P.S.G.R. Krishnamal College for Women, Coimbatore, , Bharathiyar University
678, Park's College, Tirupur, , Bharathiyar University
679, Providence College for Women, Nilgiris, , Bharathiyar University
680, R.V.S. College of Arts and Science, Coimbatore, , Bharathiyar University
681, Rathinam College of Arts and Science, Coimbatore, , Bharathiyar University
682, S.M.S. College of Arts and Science, Coimbatore, , Bharathiyar University
683, S.N.R. Sons College, Coimbatore, , Bharathiyar University
684, Sankara College of Science and Commerce, Coimbatore, , Bharathiyar University
685, Saratha College of Arts and Science, Erode, , Bharathiyar University
686, Shiri Kumaran College of Arts and Science, Coimbatore, , Bharathiyar University
687, Shri Nehru Maha Vidyalaya College of Arts and Science, Coimbatore, , Bharathiyar University
688, Sree Amman Arts and Science College, Erode, , Bharathiyar University
689, Sree Narayana Guru College, Coimbatore, , Bharathiyar University
690, Sree Ramu College of Arts and Science, Coimbatore, , Bharathiyar University
691, Sree Saraswathy Thyagaraja College, Coimbatore, , Bharathiyar University
692, Sri G.V.G. Visalakshi College for Women (Autonomous), Coimbatore, , Bharathiyar University
693, Sri Gee College of Arts and Science, Coimbatore, , Bharathiyar University
694, Sri Jayendra Saraswathy Maha Vidayalaya College of Arts and Science, Coimbatore, , Bharathiyar University
695, Sri Krishna Arts and Science College, Coimbatore, , Bharathiyar University
696, Sri Ramakrishna College of Arts and Science for Women, Coimbatore, , Bharathiyar University
697, Sri Ramakrishna Mission Vidyalaya College of Arts and Science (Autonomous), Coimbatore, , Bharathiyar University
698, Sri Ramalinga Sowdambigai College of Science and Commerce, Coimbatore, , Bharathiyar University
699, Sri Vasavi College, Erode, , Bharathiyar University
700, St. Joseph's College for Women, Coimbatore, , Bharathiyar University
701, TERF's Academy College of Arts and Science, Tirupur, , Bharathiyar University
702, Texcity Arts and Science College, Coimbatore, , Bharathiyar University
703, Thavathiru Santhalinga Adigallar Arts and Science, Coimbatore, , Bharathiyar University
704, Tiruppur Kumaran College for Women, Tirupur, , Bharathiyar University
705, V.L.B. Janakiammal College of Arts and Science, Coimbatore, , Bharathiyar University
706, V.N. Krishnasamy Naidu College of Arts and Science for Women, Coimbatore, , Bharathiyar University
707, Vellakoil Arts and Science College, Erode, , Bharathiyar University
708, Vellalar College for Women, Erode, , Bharathiyar University
709, Vidyasagar College of Arts and Science, Coimbatore, , Bharathiyar University
710, A.C.S. Medical College and Hospital, Chennai, , Deemed University
711, Agricultural Engineering College & Research Institute, Coimbatore, , Deemed University
712, Amrita School of Engineering, Coimbatore, , Deemed University
713, Avinashilingam Faculty Of Engineering College, Coimbatore, , Deemed University
714, Avinashilingam University for Women (Avinashilingam Institute for Home Science and Higher Education for Women), Coimbatore, , Deemed University
715, Bharath University (Bharath Institute of Higher Education and Research), Chennai, , Deemed University
716, Chettinad University (Chettinad College of Nursing), Kanchipuram, , Deemed University
717, Chettinad University (Chettinad Dental College and Research Institute), Kanchipuram, , Deemed University
718, Chettinad University (Chettinad Hospital and Research Institute), Kanchipuram, , Deemed University
719, Dr. M.G.R. Educational and Research Institute, Chennai, , Deemed University
720, Dr. MGR University (Dr. M.G.R. Educational and Research Insitute), Chennai, , Deemed University
721, Gandhigram Rural University, Dindigul, , Deemed University
722, Kalasalingam University (Arulmigu Kalasalingam College of Engineering), Virudhunagar, , Deemed University
723, Karpagam University (Karpagam Arts and Science College), Coimbatore, , Deemed University
724, Karunya University (Karunya Institute of Technology and Sciences), Coimbatore, , Deemed University
725, Karunya University (Karunya Institute of Technology), Coimbatore, , Deemed University
726, Meenakshi University (Arulmigu Meenakshi College of Nursing), Kanchipuram, , Deemed University
727, Meenakshi University (Meenakshi Ammal Dental College and Hospital), Chennai, , Deemed University
728, Meenakshi University (Meenakshi Medical College and Research Institute), Kanchipuram, , Deemed University
729, National Institute of Technology, Trichy, , Deemed University
730, Noorul Islam University (Noorul Islam College of Engineering), Kanyakumari, , Deemed University
731, Periyar Maniammai University (Periyar Maniammai College of Technology for Women), Thanjavur, , Deemed University
732, PRIST University (P.R. Engineering College), Thanjavur, , Deemed University
733, Rajah Muthiah Medical College, Cuddalore, , Deemed University
734, Ramakrishna Mission Vivekananda University, Coimbatore, , Deemed University
735, S.R.M. Institute of Education, Chennai, , Deemed University
736, S.R.M. School of Teacher Education and Research, Kanchipuram, , Deemed University
737, SASTRA University (Shanmugha Arts Science Technology and Research Academy), Thanjavur, , Deemed University
738, SASTRA University (Shanmugha Arts Science Technology and Research Academy), Thanjavur, , Deemed University
739, Sathyabama Institute of Education, Chennai, , Deemed University
740, Sathyabama University (Sathyabama Engineering College), Chennai, , Deemed University
741, Saveetha University (Saveetha Medical College and Hospital), Kanchipuram, , Deemed University
742, SCSVMV University (Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya), Kanchipuram, , Deemed University
743, SCSVMV University (Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya), Kanchipuram, , Deemed University
744, SCSVMV University (Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya), Kanchipuram, , Deemed University
745, Sri Ramachandra University (Sri Ramachandra Dental College), Chennai, , Deemed University
746, Sri Ramachandra University (Sri Ramachandra Medical College and Research Institute), Chennai, , Deemed University
747, Sri Ramachandra University (Sri Ramachandra Medical College and Research Institute), Chennai, , Deemed University
748, Vel Tech Dr.RR and Dr.SR Technical University (Vel Tech Engineering College), Chennai, , Deemed University
749, Vinayaka Mission's Kirupananda Variyar Medical College, Salem, , Deemed University
750, Vinayaka Mission's Sankarachariyar Dental College, Salem, , Deemed University
751, Vinayaka Missions Kirupananda Variyar Arts and Science College, Salem, , Deemed University
752, VIT University (Vellore Institute of Technology), Vellore, , Deemed University
753, Pioneer College of Arts and Science, Coimbatore, , Bharathiyar University
754, A.K.C. College of Arts and Science, Virudhunagar, , Madurai Kamaraj University
755, A.K.D. Dharmaraja's Women's College, Virudhunagar, , Madurai Kamaraj University
756, A.N.J.A. College (Autonomous), Virudhunagar, , Madurai Kamaraj University
757, A.P.A. College of Arts and Culture, Dindigul, , Madurai Kamaraj University
758, Ambiga College of Arts and Science, Madurai, , Madurai Kamaraj University
759, Annai Fathima College of Arts and Science, Madurai, , Madurai Kamaraj University
760, Arul Anandar College, Madurai, , Madurai Kamaraj University
761, C.P.A. College, Theni, , Madurai Kamaraj University
762, C.S.I. Darling Selvabai Thavaraj David College of Arts and Science for Women, Madurai, , Madurai Kamaraj University
763, Devanga Arts College, Virudhunagar, , Madurai Kamaraj University
764, E.M.G. Yadava Women's College, Madurai, , Madurai Kamaraj University
765, Fatima College (Autonomous), Madurai, , Madurai Kamaraj University
766, G.T.N. Arts College, Dindigul Govt. Arts College, Madurai, , Madurai Kamaraj University
767, H.K.R.H. College, Theni, , Madurai Kamaraj University
768, Jayaraj Annapackiam College for Women (Autonomous), Theni, , Madurai Kamaraj University
769, Jeyaraj Chelladurai College of Arts and Science, Theni, , Madurai Kamaraj University
770, Kodaikanal Christian College, Dindigul, , Madurai Kamaraj University
771, Lady Doak College (Autonomous), Madurai, , Madurai Kamaraj University
772, M.A.V.M.M. Ayira Vysiar College, Madurai, , Madurai Kamaraj University
773, M.K. University College, Madurai, , Madurai Kamaraj University
774, Mother Teresa Womens University, Dindigul, , Mother Teresa Women's University
775, M.S.S. Wakf Board College, Madurai, , Madurai Kamaraj University
